"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_19316_0df90a1f","CN NBH Instant Noodle Surprise Box #4 20*220g CASE","","__export__.account_tax_4_2705eab1","","60.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19317_37d0432e","CN NBH Instant Noodle Surprise Box #5 20*220g CASE","","__export__.account_tax_4_2705eab1","","60.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6002_ef69d5af","CN Pi Tan 24*6pcs*62.5g CASE","","__export__.account_tax_4_2705eab1","","85.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_21425_fa42df37","CN QB Sheet Jelly 40*200g CASE","","__export__.account_tax_4_2705eab1","","38.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6006_1426208b","CN QIAQIA King Sunflower Seeds Honey Butter 32*108g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6008_80953daa","CN QIAQIA Sunflower Seeds Capsicum Flavor 32x108g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6009_2cf817e0","CN QIAQIA Sunflower Seeds Caramel 32*108g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6011_4c5657c1","CN QIAQIA Sunflower Seeds Fragrant 32*160g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6004_c27450de","CN QIAQIA Sunflower Seeds Hickory Nut 32x108g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6012_4f3caf48","CN QIAQIA Sunflower Seeds Milk 32x150g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_16061_74c8da79","CN QIAQIA Sunflower Seeds Original 32*150g CASE","","__export__.account_tax_4_2705eab1","","48.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19633_91ff588b","CN Tantanxiang Chopped Chili 6*2.3kg CASE","","__export__.account_tax_4_2705eab1","","45.88","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_21939_076d0b42","CN Wei Long Kiss Burn Mixed Flavour 20*260g CASE","","l10n_generic_coa.1_sale_tax_template","","46.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_21940_5e6ba53c","CN Wei Long Latiao Hot & Spicy 60*106g CASE","","l10n_generic_coa.1_sale_tax_template","","52.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_22115_462e69aa","CN White Rabbit Creamy Candy MATCHA 24*150g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","l10n_generic_coa.1_purchase_tax_template","23.0","23%","1","23%","1"
"__export__.product_product_19555_286d68ca","CN YQ Radish Spicy Flavor 100*60g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20360_65846c13","CN YQ Sweet Potato Vermicelli (L) 20*350g CASE","","__export__.account_tax_4_2705eab1","","50.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6059_9453688c","CN YQ Sweet Potato Vermicelli (M) 20*350g CASE","","__export__.account_tax_4_2705eab1","","50.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20513_ce96e1ab","CN YQ Sweet Potato Vermicelli (M) 20*500g CASE","","__export__.account_tax_4_2705eab1","","51.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6055_38a39ce3","CN Yaomazi Water Bamboo Shoots(Roll) 20*300g CASE","","__export__.account_tax_4_2705eab1","","40.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19140_901595ae","CN Yon Ho SoyMilk Powder Almond 24*210g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20879_5a8d92cb","CN Youmi ZYLS Inst Noodle (Dandan) 8*472g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20881_3c1f05de","CN Youmi ZYLS Inst Noodle (Hot Pot) 8*488g","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20882_14942a82","CN Youmi ZYLS Inst Noodle (Oil Splashed) 8*560g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20880_76997a66","CN Youmi ZYLS Inst Noodle (Scallion Oil) 8*472g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20878_cc06782b","CN Youmi ZYLS Inst Noodle (Sesame) 8*540g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6068_58660747","CN ZHENZHEN Soda Drink Lychee 24*330ml CASE","","l10n_generic_coa.1_sale_tax_template","","24.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_6069_32915961","CN ZHENZHEN Soda Drink Peach 24*330ml CASE","","l10n_generic_coa.1_sale_tax_template","","24.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_6070_1906244f","CN ZHENZHEN Soda Drink Pineapple 24*330ml CASE","","l10n_generic_coa.1_sale_tax_template","","24.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_20750_ec0383a0","COCK Dried Lime Leaves 24*10g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_6829_014218db","COCK Green Mung Beans 50*400g CASE","","__export__.account_tax_4_2705eab1","","66.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22028_90d5e41e","Cabbage Kimchi Cut Kr 6*300g CASE","","__export__.account_tax_4_2705eab1","","26.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5759_e479a9af","Cabbage York CASE","","__export__.account_tax_4_2705eab1","","16.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
